iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8,0.1057068407535553
1000,-0.78,2.22,9,0.07064512372016907
1500,-1.0,2.0,10,0.04270406812429428
2000,-1.0,2.0,9,0.03997867554426193
2500,-0.4,2.0,10,0.04336681216955185
3000,-0.25,2.0,8,0.028657790273427963
3500,-0.12,2.0,8,0.010875416919589043
4000,-0.12,2.0,8,0.011459141969680786
4500,0.0,2.0,8,0.020172659307718277
5000,-0.12,2.0,8,0.01026381365954876
5500,-0.38,2.0,8,0.029160207137465477
6000,0.12,2.38,8,0.012972037307918072
6500,0.0,2.0,8,0.01432885229587555
7000,0.0,2.12,8,0.011997452937066555
7500,0.25,2.5,8,0.010094042867422104
8000,-0.12,2.0,8,0.007413699757307768
8500,0.38,2.62,8,0.008978006429970264
9000,0.25,2.62,8,0.012805411592125893
9500,0.0,2.0,8,0.013536875136196613
10000,0.25,2.5,8,0.018064061179757118
10500,0.62,3.0,8,0.007001406978815794
11000,0.12,2.12,8,0.004097380209714174
11500,0.5,2.5,8,0.006381843239068985
12000,0.78,3.0,9,0.01342950388789177
12500,0.73,3.09,11,0.00798966083675623
13000,0.62,2.75,8,0.012737058103084564
13500,0.75,2.75,8,0.01737573742866516
14000,0.62,2.62,8,0.027249032631516457
14500,0.62,2.62,8,0.01094495877623558
15000,0.25,2.25,8,0.016695421189069748
15500,0.62,2.75,8,0.03857941925525665
16000,0.5,2.62,8,0.011831107549369335
16500,0.25,2.38,8,0.02906576730310917
17000,0.38,2.38,8,0.018086038529872894
17500,0.88,3.0,8,0.009594691917300224
18000,1.0,3.12,8,0.015013422816991806
18500,0.38,2.38,8,0.034869540482759476
19000,0.38,2.5,8,0.013741468079388142
19500,0.5,2.62,8,0.012606321834027767
20000,0.75,3.0,8,0.012967867776751518
20500,0.88,3.0,8,0.006526292767375708
21000,0.25,2.25,8,0.034639619290828705
21500,0.62,2.88,8,0.01728433184325695
22000,0.88,2.88,8,0.01678338274359703
22500,1.3,3.7,10,0.012062572874128819
23000,0.25,2.25,8,0.012852633371949196
23500,0.62,2.75,8,0.07533915340900421
24000,0.89,3.11,9,0.0494249202311039
24500,0.38,2.5,8,0.017290588468313217
25000,1.12,3.12,8,0.014198693446815014
25500,1.12,3.25,8,0.03563190996646881
26000,0.62,2.88,8,0.046598199754953384
26500,0.62,2.75,8,0.023405976593494415
27000,1.18,3.64,11,0.025102956220507622
27500,1.12,3.38,8,0.013478940352797508
28000,1.12,3.5,8,0.03081967495381832
28500,0.62,2.75,8,0.019619079306721687
29000,0.62,2.62,8,0.021808495745062828
29500,0.62,2.75,8,0.014096182771027088
30000,1.12,3.25,8,0.033708807080984116
30500,1.22,3.56,9,0.013804926536977291
31000,3.38,6.38,8,0.021719813346862793
31500,1.25,3.5,8,0.05575396493077278
32000,1.0,3.44,9,0.057191696017980576
32500,0.88,2.88,8,0.024867888540029526
33000,1.64,4.18,11,0.02143152430653572
33500,2.83,5.42,12,0.02687138132750988
34000,3.27,5.82,11,0.06549053639173508
34500,0.75,2.88,8,0.01747795380651951
35000,0.62,2.62,8,0.016319409012794495
35500,2.5,5.0,12,0.1186131089925766
36000,4.5,7.5,8,0.014825587160885334
36500,1.6,4.0,10,0.10367905348539352
37000,3.88,6.88,8,0.0349888801574707
37500,0.12,2.12,8,0.07634954154491425
38000,2.0,4.44,9,0.038049954921007156
38500,2.55,5.09,11,0.023964397609233856
39000,3.12,6.12,8,0.02827543579041958
39500,2.3,4.8,10,0.11683914810419083
40000,2.27,4.82,11,0.06557226926088333
40500,2.55,5.09,11,0.04895802214741707
41000,2.2,4.8,10,0.06808511912822723
41500,2.62,4.88,8,0.08013605326414108
42000,3.75,6.75,8,0.02011226676404476
42500,3.33,5.78,9,0.027297820895910263
43000,3.38,6.38,8,0.06827744096517563
43500,2.89,5.22,9,0.1752074807882309
44000,3.75,6.38,8,0.11460385471582413
44500,3.2,5.6,10,0.07786399126052856
45000,3.5,6.08,12,0.0845569521188736
45500,3.5,5.9,10,0.01753716915845871
46000,5.12,8.12,8,0.016681265085935593
46500,2.27,4.73,11,0.03006216138601303
47000,4.25,7.25,8,0.08281125873327255
47500,3.5,6.5,8,0.18742455542087555
48000,4.5,7.5,8,0.026548968628048897
48500,4.88,7.88,8,0.07479818165302277
49000,4.38,7.38,8,0.084363654255867
49500,3.38,6.38,8,0.20929305255413055
50000,5.0,8.0,8,0.08499931544065475
50500,5.5,8.5,8,0.0939176082611084
51000,3.55,6.0,11,0.07874194532632828
51500,8.25,11.25,8,0.07322417199611664
52000,5.0,8.0,8,0.13420264422893524
52500,4.0,7.0,8,0.027826054021716118
53000,7.0,10.0,8,0.027455292642116547
53500,6.25,9.25,8,0.07891709357500076
54000,3.7,6.3,10,0.02165607362985611
54500,7.38,10.38,8,0.08442675322294235
55000,4.3,7.0,10,0.018958084285259247
55500,4.62,7.62,8,0.07451756298542023
56000,4.25,7.25,8,0.26365360617637634
56500,7.88,10.88,8,0.13405436277389526
57000,5.25,8.25,8,0.02107817865908146
57500,5.38,8.38,8,0.07726176828145981
58000,6.0,8.44,9,0.2113901823759079
58500,8.25,11.25,8,0.11587291955947876
59000,4.62,7.62,8,0.10818473249673843
59500,7.25,10.25,8,0.025187034159898758
60000,6.88,9.88,8,0.20623168349266052
60500,3.25,6.25,8,0.09403567016124725
61000,6.38,9.38,8,0.053717516362667084
61500,8.25,11.25,8,0.0949224978685379
62000,4.88,7.88,8,0.0880998969078064
62500,6.0,9.0,9,0.09381422400474548
63000,5.5,8.5,8,0.09402570873498917
63500,7.0,10.0,8,0.21623112261295319
64000,8.12,11.12,8,0.09012840688228607
64500,4.88,7.88,8,0.15099333226680756
65000,8.62,11.62,8,0.020363757386803627
65500,5.75,8.75,8,0.03158077225089073
66000,5.56,8.22,9,0.20978862047195435
66500,6.88,9.88,8,0.04250138998031616
67000,5.38,8.38,8,0.0734664648771286
67500,9.5,12.5,8,0.0931321308016777
68000,8.25,11.25,8,0.10955081880092621
68500,7.75,10.75,8,0.09066775441169739
69000,7.88,10.88,8,0.14402437210083008
69500,5.0,8.0,8,0.097027488052845
70000,4.12,7.12,8,0.1631624847650528
70500,4.5,7.5,8,0.035176970064640045
71000,3.25,6.25,8,0.17261840403079987
71500,9.0,12.0,8,0.11000983417034149
72000,7.75,10.75,8,0.1484624147415161
72500,3.38,6.38,8,0.14903543889522552
73000,5.5,8.5,8,0.17398008704185486
73500,5.38,8.38,8,0.18454612791538239
74000,6.12,9.12,8,0.21144187450408936
74500,5.38,8.38,8,0.061000749468803406
75000,6.62,9.62,8,0.15571703016757965
75500,7.88,10.88,8,0.0902065634727478
76000,5.38,8.38,8,0.23084115982055664
76500,6.56,9.56,9,0.0322750099003315
77000,6.62,9.62,8,0.021575547754764557
77500,3.88,6.88,8,0.03713203966617584
78000,5.56,8.56,9,0.04787825793027878
78500,4.0,7.0,8,0.10245829075574875
79000,15.62,18.62,8,0.1855749934911728
79500,8.0,11.0,8,0.05000043660402298
80000,4.62,7.62,8,0.031781088560819626
80500,6.67,9.67,9,0.10978904366493225
81000,7.12,10.12,8,0.02695951983332634
81500,6.62,9.62,8,0.034638140350580215
82000,5.12,8.12,8,0.1710551679134369
82500,6.62,9.62,8,0.14004313945770264
83000,9.12,12.12,8,0.09129324555397034
83500,6.25,9.25,8,0.03166584670543671
84000,6.25,9.25,8,0.04770801216363907
84500,11.38,14.38,8,0.05231722816824913
85000,7.5,10.5,8,0.0456099770963192
85500,4.75,7.75,8,0.056751929223537445
86000,3.75,6.75,8,0.04254068434238434
86500,5.5,8.5,8,0.09230806678533554
87000,5.75,8.75,8,0.19183474779129028
87500,5.44,8.44,9,0.2517273724079132
88000,4.25,7.25,8,0.06565043330192566
88500,5.88,8.88,8,0.15432436764240265
89000,4.38,7.38,8,0.10264268517494202
89500,5.12,8.12,8,0.09212417155504227
90000,4.25,7.25,8,0.07674792408943176
90500,8.12,11.12,8,0.04803470894694328
91000,6.75,9.75,8,0.021085096523165703
91500,6.25,9.25,8,0.08062942326068878
92000,10.0,13.0,8,0.032963525503873825
92500,4.62,7.62,8,0.1009252592921257
93000,3.75,6.75,8,0.03744225949048996
93500,6.12,9.12,8,0.10583823174238205
94000,5.25,8.25,8,0.020575661212205887
94500,5.25,8.25,8,0.09346595406532288
95000,7.25,10.25,8,0.07725480943918228
95500,5.12,8.12,8,0.01937917061150074
96000,9.75,12.75,8,0.17711037397384644
96500,7.5,10.5,8,0.0854673981666565
97000,8.12,11.12,8,0.05280608683824539
97500,8.62,11.62,8,0.04383460804820061
98000,6.5,9.5,8,0.05496688559651375
98500,7.38,10.38,8,0.03495393320918083
99000,6.38,9.38,8,0.021008934825658798
99500,5.25,8.25,8,0.02899780124425888
100000,7.64,10.27,11,0.10871238261461258
100500,6.12,9.12,8,0.12211344391107559
101000,5.62,8.62,8,0.07424750924110413
101500,3.88,6.88,8,0.21630795300006866
102000,7.25,10.25,8,0.14994734525680542
102500,4.62,7.62,8,0.11005417257547379
103000,5.0,8.0,8,0.09808696061372757
103500,10.38,13.38,8,0.031206807121634483
104000,8.5,11.5,8,0.08401670306921005
104500,7.38,10.38,8,0.08819474279880524
105000,7.75,10.75,8,0.03451400622725487
105500,8.0,11.0,8,0.06079794466495514
106000,9.38,12.38,8,0.059369541704654694
106500,7.12,10.12,8,0.11756942421197891
107000,6.75,9.75,8,0.0652216374874115
107500,7.12,10.12,8,0.05805002897977829
108000,6.12,9.12,8,0.11958596110343933
108500,7.0,10.0,8,0.05882396176457405
109000,6.12,9.12,8,0.15577347576618195
109500,5.88,8.88,8,0.03384648635983467
110000,7.25,10.25,8,0.05876345559954643
110500,7.0,10.0,8,0.0273174699395895
111000,11.25,14.25,8,0.12584124505519867
111500,5.5,8.5,8,0.06338594853878021
112000,6.62,9.62,8,0.042075082659721375
112500,8.5,11.5,8,0.37523847818374634
113000,7.25,10.25,8,0.03016054257750511
113500,8.12,11.12,8,0.14911139011383057
114000,6.88,9.88,8,0.14045804738998413
114500,8.0,11.0,8,0.12397124618291855
115000,7.62,10.62,8,0.040322449058294296
115500,5.75,8.75,8,0.09990476071834564
116000,3.75,6.75,8,0.10688858479261398
116500,9.88,12.88,8,0.13672521710395813
117000,8.0,11.0,8,0.11433558166027069
117500,7.0,10.0,8,0.042028363794088364
118000,7.0,10.0,8,0.05016658455133438
118500,6.25,9.25,8,0.123155876994133
119000,7.62,10.62,8,0.042740531265735626
119500,5.62,8.62,8,0.033210400491952896
120000,6.89,9.33,9,0.0699075236916542
120500,3.5,6.5,8,0.11759103834629059
121000,5.5,8.5,8,0.11407573521137238
121500,6.88,9.88,8,0.06367404013872147
122000,8.25,11.25,8,0.11409948021173477
122500,7.62,10.62,8,0.11730380356311798
123000,6.75,9.75,8,0.028614889830350876
123500,8.38,11.38,8,0.16285330057144165
124000,8.0,11.0,8,0.11078739166259766
124500,5.25,8.25,8,0.16409985721111298
125000,8.88,11.88,8,0.05451083183288574
125500,6.88,9.88,8,0.24501195549964905
126000,7.0,10.0,8,0.04684823378920555
126500,5.5,8.5,8,0.11843696981668472
127000,9.62,12.62,8,0.14958924055099487
127500,7.12,10.12,8,0.20755314826965332
128000,7.75,10.75,8,0.040357645601034164
128500,8.88,11.88,8,0.298414945602417
129000,5.0,7.42,12,0.075836680829525
129500,8.12,11.12,8,0.20044603943824768
130000,12.38,15.38,8,0.2141864150762558
130500,3.25,6.25,8,0.11353909224271774
131000,6.62,9.62,8,0.05809267610311508
131500,9.25,12.25,8,0.07600055634975433
132000,4.12,7.12,8,0.08344805240631104
132500,8.0,11.0,8,0.10456084460020065
133000,10.0,13.0,8,0.230937659740448
133500,8.75,11.75,8,0.07102228701114655
134000,5.12,8.12,8,0.026675336062908173
134500,8.62,11.62,8,0.14903631806373596
135000,4.62,7.62,8,0.11187208443880081
135500,4.38,7.38,8,0.03525277227163315
136000,7.0,10.0,8,0.19532963633537292
136500,5.88,8.88,8,0.038447000086307526
137000,10.0,13.0,8,0.11316929012537003
137500,4.0,7.0,8,0.039101775735616684
138000,9.75,12.75,8,0.18805082142353058
138500,5.25,8.25,8,0.02306259423494339
139000,8.88,11.88,8,0.2225959450006485
139500,3.62,6.62,8,0.04570259153842926
140000,8.12,11.12,8,0.184035986661911
140500,7.75,10.75,8,0.02642432041466236
141000,6.22,9.22,9,0.028822999447584152
141500,4.75,7.75,8,0.021401118487119675
142000,7.75,10.75,8,0.16419044137001038
142500,8.38,11.38,8,0.07891839742660522
143000,5.75,8.75,8,0.03358253091573715
143500,6.12,9.12,8,0.1751200258731842
144000,6.12,9.12,8,0.10025066882371902
144500,6.38,9.38,8,0.1624559611082077
145000,7.88,10.88,8,0.16322238743305206
145500,8.12,11.12,8,0.04145430028438568
146000,8.0,11.0,8,0.16555534303188324
146500,4.12,7.12,8,0.034420114010572433
147000,5.88,8.88,8,0.1234346553683281
147500,4.88,7.88,8,0.021734340116381645
148000,5.25,8.25,8,0.024553559720516205
148500,8.25,11.25,8,0.028098130598664284
149000,7.75,10.75,8,0.14156121015548706
149500,7.38,10.38,8,0.20990999042987823
150000,5.38,8.38,8,0.02864838019013405
150500,3.62,6.62,8,0.20429816842079163
151000,7.12,10.12,8,0.019317176192998886
151500,6.12,9.12,8,0.044585637748241425
152000,4.88,7.88,8,0.10890813171863556
152500,9.12,12.12,8,0.14537197351455688
153000,6.0,9.0,8,0.056364819407463074
153500,6.25,9.25,8,0.21051743626594543
154000,5.88,8.88,8,0.0780673399567604
154500,5.25,8.25,8,0.03568797931075096
155000,4.75,7.75,8,0.08797440677881241
155500,4.88,7.88,8,0.15140266716480255
156000,7.12,10.12,8,0.02877361699938774
156500,6.75,9.75,8,0.09015922248363495
157000,6.0,9.0,8,0.08815117180347443
157500,7.25,10.25,8,0.11067125201225281
158000,11.25,14.25,8,0.12555205821990967
158500,11.0,14.0,8,0.03299776837229729
159000,6.75,9.75,8,0.04365601763129234
159500,9.38,12.38,8,0.05386695638298988
160000,8.88,11.88,8,0.030913731083273888
160500,9.12,12.12,8,0.12506230175495148
161000,7.25,10.25,8,0.06163059175014496
161500,9.0,12.0,8,0.06503777205944061
162000,4.62,7.62,8,0.027377337217330933
162500,13.5,16.5,8,0.04631255567073822
163000,6.5,9.5,8,0.14414794743061066
163500,4.75,7.75,8,0.11504043638706207
164000,6.5,9.5,8,0.07652457058429718
164500,6.12,9.12,8,0.025030499324202538
165000,6.88,9.88,8,0.22776491940021515
165500,7.88,10.88,8,0.17662587761878967
166000,7.25,10.25,8,0.09754098951816559
166500,5.0,8.0,8,0.08397345244884491
167000,5.88,8.88,8,0.23557758331298828
167500,3.25,6.25,8,0.03702950477600098
168000,9.5,12.5,8,0.07744555920362473
168500,7.62,10.62,8,0.04217566177248955
169000,9.88,12.88,8,0.12713401019573212
169500,5.12,8.12,8,0.1144835352897644
170000,10.0,13.0,8,0.02823682688176632
170500,9.88,12.88,8,0.10093575716018677
171000,8.38,11.38,8,0.030657004565000534
171500,7.0,10.0,8,0.1418631374835968
172000,11.22,14.22,9,0.1368599236011505
172500,7.0,10.0,8,0.23161768913269043
173000,9.62,12.62,8,0.11018528044223785
173500,4.25,7.25,8,0.2043459117412567
174000,8.0,11.0,8,0.15388523042201996
174500,9.12,12.12,8,0.15218183398246765
175000,5.5,8.5,8,0.12772366404533386
175500,6.62,9.62,8,0.0399739034473896
176000,10.75,13.75,8,0.25297605991363525
176500,4.88,7.88,8,0.11126772314310074
177000,8.0,11.0,8,0.02826247178018093
177500,7.5,10.5,8,0.040470827370882034
178000,4.0,7.0,8,0.10599105805158615
178500,4.5,7.5,8,0.03466269373893738
179000,6.62,9.62,8,0.13530446588993073
179500,6.25,9.25,8,0.052505265921354294
180000,10.88,13.88,8,0.1476122885942459
180500,3.12,6.12,8,0.03971035033464432
181000,5.75,8.75,8,0.027583854272961617
181500,8.62,11.62,8,0.05231132730841637
182000,5.75,8.75,8,0.0463285818696022
182500,5.38,8.38,8,0.04362848401069641
183000,11.0,14.0,9,0.12241369485855103
183500,4.88,7.88,8,0.016217591241002083
184000,7.38,10.38,8,0.09024602919816971
184500,8.75,11.75,8,0.12194056063890457
185000,7.62,10.62,8,0.029835663735866547
185500,7.5,10.5,8,0.2565436065196991
186000,6.5,9.5,8,0.10318515449762344
186500,10.5,13.5,8,0.022585110738873482
187000,6.88,9.88,8,0.023256801068782806
187500,6.12,9.12,8,0.07436466217041016
188000,10.88,13.88,8,0.20216242969036102
188500,10.12,13.12,8,0.02427074685692787
189000,8.5,11.5,8,0.05999608710408211
189500,12.75,15.75,8,0.18163567781448364
190000,7.5,10.5,8,0.1878870725631714
190500,9.38,12.38,8,0.13503393530845642
191000,8.38,11.38,8,0.3002549707889557
191500,3.75,6.75,8,0.027313513681292534
192000,7.25,10.25,8,0.07673139125108719
192500,9.78,12.78,9,0.2144150584936142
193000,8.75,11.75,8,0.056766118854284286
193500,10.75,13.75,8,0.13106994330883026
194000,7.75,10.75,8,0.03810444101691246
194500,4.88,7.88,8,0.11823665350675583
195000,10.75,13.75,8,0.11768713593482971
195500,4.62,7.62,8,0.19501005113124847
196000,5.5,8.5,8,0.0244832094758749
196500,9.12,12.12,8,0.05599575862288475
197000,9.12,12.12,8,0.0362674780189991
197500,5.62,8.62,8,0.049200065433979034
198000,7.0,10.0,8,0.05967862531542778
198500,7.0,10.0,8,0.03517445549368858
199000,6.5,9.5,8,0.019799724221229553
199500,8.12,11.12,8,0.11888601630926132
200000,7.88,10.88,8,0.0354725681245327
200500,5.62,8.62,8,0.02875649370253086
201000,8.88,11.88,8,0.040796712040901184
201500,7.0,10.0,8,0.1098804846405983
202000,6.0,9.0,8,0.13939028978347778
202500,5.38,8.38,8,0.026654383167624474
203000,8.88,11.88,8,0.05773521214723587
203500,8.0,11.0,8,0.0552813895046711
204000,10.12,13.12,8,0.02296394668519497
204500,6.78,9.78,9,0.06940280646085739
205000,6.5,9.5,8,0.024938082322478294
205500,8.25,11.25,8,0.18644073605537415
206000,10.38,13.38,8,0.1496478021144867
206500,9.62,12.62,8,0.02754700556397438
207000,9.12,12.12,8,0.05010932683944702
207500,8.5,11.5,8,0.18208983540534973
208000,4.88,7.88,8,0.15031638741493225
208500,5.38,8.38,8,0.11081524938344955
209000,13.12,16.12,8,0.062372609972953796
209500,9.25,12.25,8,0.1411619782447815
210000,9.5,12.5,8,0.10599313676357269
210500,10.75,13.75,8,0.03399592638015747
211000,7.25,10.25,8,0.21729740500450134
211500,5.75,8.75,8,0.06136258691549301
212000,4.88,7.88,8,0.17040306329727173
212500,7.62,10.62,8,0.08474540710449219
213000,6.12,9.12,8,0.0988742932677269
213500,4.25,7.25,8,0.08828133344650269
214000,9.38,12.38,8,0.06392455101013184
214500,7.75,10.75,8,0.16828066110610962
215000,8.75,11.75,8,0.02400158904492855
215500,11.25,14.25,8,0.13549140095710754
216000,9.38,12.38,8,0.12375792860984802
216500,6.12,9.12,8,0.01798274740576744
217000,13.0,16.0,8,0.08687519282102585
217500,7.38,10.38,8,0.2001349925994873
218000,7.5,10.5,8,0.03459237515926361
218500,7.88,10.88,8,0.12448251247406006
219000,9.88,12.88,8,0.0902324765920639
219500,8.5,11.5,8,0.07214348763227463
220000,2.12,5.12,8,0.19811953604221344
220500,9.25,12.25,8,0.02896147221326828
221000,4.0,7.0,8,0.07319993525743484
221500,5.12,8.12,8,0.023419873788952827
222000,8.5,11.5,8,0.023359809070825577
222500,11.0,14.0,8,0.15323087573051453
223000,7.0,10.0,8,0.12472964078187943
223500,11.12,14.12,8,0.05464376509189606
224000,8.12,11.12,8,0.03659360855817795
224500,6.5,9.5,8,0.034506045281887054
225000,4.25,7.25,8,0.2338598370552063
225500,5.12,8.12,8,0.14542242884635925
226000,8.5,11.5,8,0.026195524260401726
226500,10.12,13.12,8,0.1744612157344818
227000,5.75,8.75,8,0.03759664297103882
227500,9.38,12.38,8,0.055280283093452454
228000,8.38,11.38,8,0.08760791271924973
228500,6.33,9.33,9,0.030303511768579483
229000,7.25,10.25,8,0.032602012157440186
