iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8,0.27736806869506836
1000,-0.75,2.25,8,0.13240736722946167
1500,0.38,2.5,8,0.15270039439201355
2000,-0.12,2.0,8,0.06323201954364777
2500,0.12,2.25,8,0.07344403117895126
3000,0.25,2.25,8,0.0935349091887474
3500,0.5,2.5,8,0.15239740908145905
4000,0.5,2.62,8,0.07270224392414093
4500,0.38,2.5,8,0.11727713793516159
5000,0.5,2.62,8,0.06199690327048302
5500,0.38,2.62,8,0.10875622183084488
6000,0.67,2.89,9,0.1338237226009369
6500,0.75,2.75,8,0.08339873701334
7000,0.38,2.38,8,0.09046819061040878
7500,0.5,2.62,8,0.05478553846478462
8000,0.62,2.62,8,0.17820048332214355
8500,0.75,3.0,8,0.05069650337100029
9000,0.75,2.88,8,0.0266338512301445
9500,0.12,2.12,8,0.03601687774062157
10000,0.38,2.38,8,0.028787411749362946
10500,0.88,2.88,8,0.05918338522315025
11000,0.38,2.38,8,0.08092859387397766
11500,0.12,2.12,8,0.23007327318191528
12000,0.38,2.38,8,0.04024378955364227
12500,0.75,2.75,8,0.14973978698253632
13000,1.0,3.25,8,0.04479054734110832
13500,0.75,2.88,8,0.025420745834708214
14000,0.0,2.0,8,0.05251908302307129
14500,1.12,3.25,8,0.03942790627479553
15000,3.0,6.0,8,0.07734310626983643
15500,0.25,2.25,8,0.04175402596592903
16000,0.75,2.88,8,0.017428679391741753
16500,1.12,3.25,8,0.026114465668797493
17000,0.62,2.62,8,0.03706412762403488
17500,1.25,3.25,8,0.04395420849323273
18000,1.6,4.1,10,0.04930975288152695
18500,2.6,4.9,10,0.5536788105964661
19000,0.62,2.75,8,0.061890773475170135
19500,3.33,5.78,9,0.14281609654426575
20000,1.0,3.12,8,0.3443737328052521
20500,0.75,2.75,8,0.04273967444896698
21000,2.33,4.78,9,0.07001493871212006
21500,0.88,3.0,8,0.049998488277196884
22000,1.0,3.5,10,0.05402375012636185
22500,2.38,4.75,8,0.04009295254945755
23000,0.88,2.88,8,0.04956277459859848
23500,1.5,3.75,8,0.09666505455970764
24000,2.1,4.4,10,0.08504420518875122
24500,4.09,6.73,11,0.3391401469707489
25000,2.67,5.0,9,0.08545761555433273
25500,2.75,5.0,8,0.06234326586127281
26000,4.33,6.83,12,0.031966038048267365
26500,3.46,6.0,13,0.05911119654774666
27000,3.0,5.45,11,0.09852473437786102
27500,3.0,5.5,10,0.4773379862308502
28000,2.9,5.3,10,0.060682039707899094
28500,3.18,5.73,11,0.16503290832042694
29000,6.38,9.38,8,0.10563747584819794
29500,8.25,11.25,8,0.056690994650125504
30000,2.88,5.12,8,0.06923921406269073
30500,2.12,4.25,8,0.09509658813476562
31000,0.62,2.62,8,0.08928404003381729
31500,5.75,8.75,8,0.07259833812713623
32000,0.25,2.25,8,0.07183843851089478
32500,4.4,7.0,10,0.13012655079364777
33000,1.62,3.88,8,0.5022889375686646
33500,3.78,6.22,9,0.046103425323963165
34000,5.09,7.64,11,0.5456117391586304
34500,6.88,9.88,8,0.12450238317251205
35000,4.91,7.55,11,0.18514184653759003
35500,3.3,5.6,10,0.05245325714349747
36000,3.5,6.0,10,0.6046909093856812
36500,4.75,7.75,8,0.06438145041465759
37000,3.8,6.4,10,0.5332692265510559
37500,1.12,3.25,8,0.27030083537101746
38000,5.38,8.38,8,0.053445491939783096
38500,4.42,7.0,12,0.04728132486343384
39000,3.62,5.88,8,0.0451524443924427
39500,6.38,9.38,8,0.08092916011810303
40000,7.25,10.25,8,0.06631455570459366
40500,4.44,7.0,9,0.28804391622543335
41000,6.7,9.4,10,0.057819999754428864
41500,4.25,7.25,8,0.09241612255573273
42000,3.3,5.9,10,0.5596469640731812
42500,6.0,9.0,8,0.1385621577501297
43000,5.3,7.8,10,0.06625743955373764
43500,6.18,8.73,11,0.15320979058742523
44000,9.75,12.75,8,0.09061042219400406
44500,5.25,8.25,8,1.3724064826965332
45000,6.62,9.62,8,0.06409026682376862
45500,3.1,5.5,10,0.4563937187194824
46000,8.0,11.0,8,0.07390574365854263
46500,6.62,9.62,8,0.06987125426530838
47000,10.62,13.62,8,0.04041449725627899
47500,10.25,13.25,8,0.33527928590774536
48000,8.12,10.5,8,0.07245666533708572
48500,6.12,9.12,8,0.8490901589393616
49000,6.2,8.9,10,0.09049250930547714
49500,6.0,9.0,8,0.47749024629592896
50000,7.5,10.2,10,0.11234374344348907
50500,2.67,5.11,9,0.537134051322937
51000,2.75,5.12,8,0.5950962901115417
51500,7.62,10.62,8,0.6304593086242676
52000,9.25,12.25,8,0.051257167011499405
52500,7.5,10.5,8,0.05440729483962059
53000,5.4,7.9,10,0.08720527589321136
53500,9.12,12.12,8,0.06374360620975494
54000,7.75,10.75,8,0.2933683395385742
54500,7.22,9.89,9,0.07510947436094284
55000,11.0,14.0,8,0.05030970275402069
