iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.09370283782482147
1000,-0.88,2.12,8,0.08233634382486343
1500,0.0,2.0,8,0.04553497955203056
2000,0.0,2.0,8,0.024020971730351448
2500,0.12,2.25,8,0.026759162545204163
3000,0.0,2.0,8,0.011488355696201324
3500,0.25,2.25,8,0.00832136906683445
4000,0.25,2.25,8,0.010230287909507751
4500,0.38,2.62,8,0.008676418103277683
5000,0.38,2.62,8,0.01439143531024456
5500,0.25,2.5,8,0.010320994071662426
6000,0.0,2.25,8,0.011605778709053993
6500,0.25,2.25,8,0.006992551498115063
7000,0.5,2.62,8,0.008845757693052292
7500,0.38,2.38,8,0.009721934795379639
8000,0.25,2.25,8,0.013516418635845184
8500,0.38,2.38,8,0.011863283812999725
9000,0.88,2.88,8,0.014213222078979015
9500,0.38,2.5,8,0.02506447210907936
10000,0.38,2.5,8,0.011408806778490543
10500,0.25,2.25,8,0.01125243492424488
11000,1.0,3.12,8,0.023801583796739578
11500,0.62,2.75,8,0.014507388696074486
12000,0.62,2.62,8,0.021739717572927475
12500,0.88,3.0,8,0.022546671330928802
13000,1.2,3.6,10,0.02940869703888893
13500,0.9,3.2,10,0.025308579206466675
14000,1.0,3.12,8,0.016820484772324562
14500,0.88,2.88,8,0.03569338098168373
15000,0.88,2.88,8,0.025610731914639473
15500,0.38,2.38,8,0.039603136479854584
16000,0.5,2.5,8,0.04404442757368088
16500,0.62,2.75,8,0.028626607730984688
17000,0.88,3.12,8,0.04932478070259094
17500,1.25,3.5,8,0.027120713144540787
18000,0.5,2.5,8,0.02203047275543213
18500,0.62,2.75,8,0.028055496513843536
19000,0.62,2.75,8,0.08179838955402374
19500,1.58,4.0,12,0.0687585175037384
20000,0.75,2.75,8,0.04292647913098335
20500,1.1,3.4,10,0.02935441955924034
21000,0.5,2.5,8,0.03297363966703415
21500,0.75,2.88,8,0.026931410655379295
22000,0.62,2.62,8,0.024238303303718567
22500,1.0,3.12,8,0.05776507034897804
23000,0.5,2.62,8,0.09000956267118454
23500,1.0,3.25,8,0.03882283344864845
24000,0.5,2.62,8,0.0847475454211235
24500,0.5,2.62,8,0.047832608222961426
25000,0.62,2.62,8,0.03915875405073166
25500,1.0,3.33,9,0.08737891167402267
26000,1.11,3.56,9,0.05195918306708336
26500,0.88,3.0,8,0.06411423534154892
27000,1.58,4.08,12,0.025382276624441147
27500,0.78,3.0,9,0.08743169903755188
28000,2.18,4.73,11,0.06479411572217941
28500,1.0,3.12,8,0.03732345625758171
29000,1.62,3.88,8,0.019688740372657776
29500,1.7,4.2,10,0.0917772501707077
30000,2.62,5.12,8,0.02899947203695774
30500,1.38,3.62,8,0.12770719826221466
31000,1.7,4.1,10,0.08071912080049515
31500,1.44,3.67,9,0.0236233901232481
32000,1.62,4.0,8,0.05203269422054291
32500,1.56,3.78,9,0.022723475471138954
33000,1.7,4.2,10,0.026386471465229988
33500,3.38,6.38,8,0.028548508882522583
34000,1.33,3.56,9,0.034760914742946625
34500,2.67,4.89,9,0.09044952690601349
35000,0.78,3.0,9,0.0874861478805542
35500,1.5,3.75,8,0.054185736924409866
36000,2.75,5.75,8,0.02257338911294937
36500,2.9,5.4,10,0.05192016810178757
37000,2.55,4.91,11,0.053153783082962036
37500,1.75,4.12,8,0.02429465763270855
38000,3.62,6.62,8,0.1712082028388977
38500,0.88,3.0,8,0.19575950503349304
39000,3.0,5.45,11,0.07160688936710358
39500,2.4,4.8,10,0.12906113266944885
40000,1.89,4.11,9,0.030805381014943123
40500,2.6,4.9,10,0.06308992207050323
41000,3.22,5.67,9,0.06413216888904572
41500,2.0,4.25,8,0.029581759124994278
42000,7.38,10.38,8,0.13717487454414368
42500,1.22,3.67,9,0.13742905855178833
43000,5.6,8.3,10,0.20837730169296265
43500,4.17,6.75,12,0.10562040656805038
44000,2.64,5.18,11,0.05849038437008858
44500,8.0,11.0,8,0.019299320876598358
45000,3.75,6.75,8,0.13617412745952606
45500,6.62,9.62,8,0.05149238556623459
46000,5.0,8.0,8,0.15136057138442993
46500,5.0,8.0,8,0.11059276759624481
47000,7.88,10.88,8,0.08366068452596664
47500,1.7,4.1,10,0.1457795947790146
48000,3.11,5.44,9,0.09952358901500702
48500,3.5,6.2,10,0.13466045260429382
49000,2.7,5.1,10,0.03773736581206322
49500,2.11,4.56,9,0.025392377749085426
50000,5.88,8.88,8,0.09998902678489685
50500,6.5,9.5,8,0.09275136142969131
51000,3.22,5.67,9,0.05940425768494606
51500,4.62,7.62,8,0.22881698608398438
52000,7.62,10.62,8,0.0319281704723835
52500,5.12,8.12,8,0.14818476140499115
53000,7.12,10.12,8,0.2186451107263565
53500,2.0,4.33,9,0.0916028842329979
54000,5.0,8.0,8,0.24328579008579254
54500,5.88,8.88,8,0.17292474210262299
55000,2.5,4.62,8,0.07220199704170227
55500,7.5,10.5,8,0.18831667304039001
56000,8.75,11.75,8,0.1661934107542038
56500,7.75,10.75,8,0.03126958757638931
57000,7.38,10.38,8,0.039760835468769073
57500,5.75,8.75,8,0.0537533313035965
58000,9.12,12.12,8,0.20529556274414062
58500,3.38,6.38,8,0.03234132006764412
59000,7.75,10.75,8,0.1479375809431076
59500,8.0,11.0,8,0.11105210334062576
60000,9.25,12.25,8,0.12945270538330078
60500,6.88,9.88,8,0.17393241822719574
61000,6.75,9.75,8,0.09966527670621872
61500,10.38,13.38,8,0.19362369179725647
62000,9.12,12.12,8,0.09578573703765869
62500,4.11,6.78,9,0.1289510726928711
63000,6.0,9.0,8,0.09158021956682205
63500,6.5,9.5,8,0.07534054666757584
64000,7.62,10.62,8,0.15645374357700348
64500,6.62,9.62,8,0.05393315851688385
65000,6.25,9.25,8,0.15552270412445068
65500,6.62,9.62,8,0.0877329632639885
66000,5.56,8.56,9,0.04902331531047821
66500,5.0,8.0,8,0.10599063336849213
67000,5.0,8.0,8,0.13782647252082825
